ContigName	Description
jgi|Nemve1|153902|e_gw.6716.3.1	No_Description
jgi|Nemve1|153912|e_gw.6725.4.1	Putative uncharacterized protein ART3
jgi|Nemve1|153918|e_gw.6746.1.1	Uncharacterized protein {ECO:0000313|EMBL:AOE48155.1}
jgi|Nemve1|153950|e_gw.6810.4.1	Plus agglutinin {ECO:0000313|EMBL:AAS07044.1}
jgi|Nemve1|153955|e_gw.6819.1.1	No_Description
jgi|Nemve1|153959|e_gw.6828.3.1	Putative uncharacterized protein ART2
jgi|Nemve1|153967|e_gw.6829.4.1	Histone H4
jgi|Nemve1|1539|gw.3319.2.1	Solute carrier family 22 member 18
jgi|Nemve1|154009|e_gw.6846.3.1	Uncharacterized protein {ECO:0000313|WBParaSite:TMUE_s0060004900}
jgi|Nemve1|154012|e_gw.6846.2.1	Uncharacterized protein {ECO:0000313|VectorBase:LLOJ000354-PA}
jgi|Nemve1|154013|e_gw.6854.1.1	Casein kinase II subunit alpha
jgi|Nemve1|154018|e_gw.6867.2.1	Ras-specific guanine nucleotide-releasing factor 1
jgi|Nemve1|154026|e_gw.6875.4.1	L-gulonolactone oxidase
jgi|Nemve1|154031|e_gw.6875.2.1	Adhesive plaque matrix protein
jgi|Nemve1|154045|e_gw.6889.1.1	No_Description
jgi|Nemve1|154049|e_gw.6889.3.1	Transcription factor E2F2
jgi|Nemve1|154079|e_gw.6926.2.1	Recoverin family protein DDB_G0274781
jgi|Nemve1|154085|e_gw.6932.6.1	Uncharacterized protein {ECO:0000313|EMBL:OCA15701.1}
jgi|Nemve1|154099|e_gw.6948.2.1	Propionyl-CoA carboxylase beta chain {ECO:0000305}
jgi|Nemve1|154106|e_gw.6955.5.1	AH receptor {ECO:0000313|EMBL:AAF87578.1}
jgi|Nemve1|154119|e_gw.6976.2.1	Potassium voltage-gated channel subfamily A member 4
jgi|Nemve1|154142|e_gw.7024.2.1	Endoplasmic reticulum-Golgi intermediate compartment protein 2
jgi|Nemve1|154148|e_gw.7041.1.1	Excitatory amino acid transporter 3
jgi|Nemve1|15418|gw.232.36.1	Archaemetzincin-2
jgi|Nemve1|154190|e_gw.7070.2.1	Uncharacterized protein {ECO:0000313|EMBL:CAJ17109.1}
jgi|Nemve1|154193|e_gw.7074.3.1	Lipoxygenase homology domain-containing protein 1
jgi|Nemve1|154198|e_gw.7077.7.1	Putative uncharacterized protein ART3
jgi|Nemve1|154207|e_gw.7093.3.1	GMP synthase [glutamine-hydrolyzing] {ECO:0000255|HAMAP-Rule:MF_00344}
jgi|Nemve1|154215|e_gw.7107.1.1	Cysteine desulfuration protein SufE {ECO:0000255|HAMAP-Rule:MF_01832}
jgi|Nemve1|154217|e_gw.7115.3.1	Uncharacterized protein MJ0304
jgi|Nemve1|154226|e_gw.7120.1.1	Uncharacterized protein {ECO:0000313|EMBL:ACU91740.1}
jgi|Nemve1|154227|e_gw.7130.2.1	Protein kish-A
jgi|Nemve1|154233|e_gw.7135.2.1	Monocarboxylate transporter 10
jgi|Nemve1|154236|e_gw.7136.1.1	Glutaredoxin-C8
jgi|Nemve1|154240|e_gw.7141.2.1	No_Description
jgi|Nemve1|154243|e_gw.7144.1.1	"Isobutyryl-CoA dehydrogenase, mitochondrial"
jgi|Nemve1|154253|e_gw.7149.1.1	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:SPU_023674-tr}
jgi|Nemve1|154278|e_gw.7168.2.1	Transposon TX1 uncharacterized 149 kDa protein
jgi|Nemve1|154294|e_gw.7179.3.1	"Ras-related protein Rab-34, isoform NARR"
jgi|Nemve1|154303|e_gw.7191.2.1	Brevican core protein
jgi|Nemve1|154307|e_gw.7196.2.1	Protein disulfide-isomerase A3
jgi|Nemve1|154334|e_gw.7241.1.1	Perlucin-like protein {ECO:0000303|PubMed:21643827}
jgi|Nemve1|154337|e_gw.7243.3.1	Uncharacterized protein PF07_0086 {ECO:0000312|EMBL:CAD50958.1}
jgi|Nemve1|154344|e_gw.7246.4.1	Probable RNA-directed DNA polymerase from transposon X-element
jgi|Nemve1|154347|e_gw.7250.1.1	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3
jgi|Nemve1|154371|e_gw.7275.3.1	Probable RNA-directed DNA polymerase from transposon BS
jgi|Nemve1|154385|e_gw.7279.7.1	Electron transfer flavoprotein subunit beta
jgi|Nemve1|154387|e_gw.7279.15.1	Electron transfer flavoprotein subunit beta {ECO:0000305}
jgi|Nemve1|154388|e_gw.7283.3.1	Uncharacterized protein {ECO:0000313|EMBL:OCT79249.1}
jgi|Nemve1|154398|e_gw.7285.33.1	Putative uncharacterized protein ART3
jgi|Nemve1|154401|e_gw.7285.17.1	Uncharacterized protein {ECO:0000313|EMBL:EJC97564.1}
jgi|Nemve1|154426|e_gw.7292.3.1	Aspartate carbamoyltransferase {ECO:0000255|HAMAP-Rule:MF_00001}
jgi|Nemve1|15442|gw.302.21.1	LIM/homeobox protein Lhx3
jgi|Nemve1|154433|e_gw.7294.2.1	F-box/LRR-repeat protein 13
jgi|Nemve1|154436|e_gw.7296.1.1	Lactadherin
jgi|Nemve1|154439|e_gw.7307.2.1	Lactadherin
jgi|Nemve1|154445|e_gw.7315.1.1	Glucosylceramidase
jgi|Nemve1|154458|e_gw.7326.1.1	Uncharacterized protein SYNPCC7002_A1628
jgi|Nemve1|154474|e_gw.7339.4.1	Histone H3
jgi|Nemve1|154484|e_gw.7341.2.1	Solute carrier family 25 member 44
jgi|Nemve1|154485|e_gw.7341.1.1	Lipoma HMGIC fusion partner-like 2 protein
jgi|Nemve1|154490|e_gw.7342.4.1	Volume-regulated anion channel subunit LRRC8E
jgi|Nemve1|154492|e_gw.7344.2.1	Protein sidekick-1 {ECO:0000303|PubMed:12230981}
jgi|Nemve1|154495|e_gw.7347.2.1	"Long-chain specific acyl-CoA dehydrogenase, mitochondrial"
jgi|Nemve1|154498|e_gw.7347.6.1	Uncharacterized sodium-dependent transporter HI_0736
jgi|Nemve1|154509|e_gw.7367.3.1	Probable aldehyde dehydrogenase YcbD
jgi|Nemve1|154536|e_gw.7411.1.1	Tenascin-R
jgi|Nemve1|154539|e_gw.7432.2.1	MAM and LDL-receptor class A domain-containing protein 1
jgi|Nemve1|154554|e_gw.7443.6.1	60S ribosomal protein L26
jgi|Nemve1|154558|e_gw.7443.3.1	Plasma alpha-L-fucosidase
jgi|Nemve1|154560|e_gw.7449.4.1	Uncharacterized protein {ECO:0000313|VectorBase:BGLB008074-PA}
jgi|Nemve1|154583|e_gw.7470.1.1	Zinc metalloproteinase nas-15
jgi|Nemve1|154593|e_gw.7489.3.1	Glucose-induced degradation protein 8 homolog
jgi|Nemve1|154603|e_gw.7490.3.1	Small proline-rich protein 3
jgi|Nemve1|154632|e_gw.7500.1.1	Syntaxin-18
jgi|Nemve1|154641|e_gw.7530.1.1	Bile salt-activated lipase
jgi|Nemve1|154665|e_gw.7543.16.1	Putative senescence-associated protein {ECO:0000313|EMBL:BAB33421.1}
jgi|Nemve1|154671|e_gw.7543.6.1	Putative uncharacterized protein ART2
jgi|Nemve1|154682|e_gw.7555.1.1	Protein CLEC16A {ECO:0000305}
jgi|Nemve1|154689|e_gw.7574.3.1	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2A"
jgi|Nemve1|154692|e_gw.7591.3.1	Lactadherin
jgi|Nemve1|154698|e_gw.7594.2.1	Collagen alpha-1(IV) chain
jgi|Nemve1|154727|e_gw.7634.2.1	UDP-glucuronosyltransferase 1-1
jgi|Nemve1|154760|e_gw.7670.3.1	Uncharacterized protein {ECO:0000313|EMBL:CDS44960.1}
jgi|Nemve1|154768|e_gw.7681.1.1	Uncharacterized protein {ECO:0000313|EMBL:JAP47328.1}
jgi|Nemve1|154775|e_gw.7726.2.1	No_Description
jgi|Nemve1|154777|e_gw.7729.2.1	Uncharacterized protein {ECO:0000313|EMBL:KFU83733.1}
jgi|Nemve1|154781|e_gw.7735.1.1	No_Description
jgi|Nemve1|154782|e_gw.7736.12.1	"Pullulanase 1, chloroplastic {ECO:0000313|EMBL:OLP87329.1}"
jgi|Nemve1|154796|e_gw.7740.1.1	Adhesion G protein-coupled receptor E2
jgi|Nemve1|154800|e_gw.7751.3.1	Enteropeptidase
jgi|Nemve1|154803|e_gw.7765.1.1	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1
jgi|Nemve1|154814|e_gw.7790.1.1	No_Description
jgi|Nemve1|154816|e_gw.7796.1.1	Histone H2A
jgi|Nemve1|154820|e_gw.7811.6.1	No_Description
jgi|Nemve1|154825|e_gw.7814.1.1	Exostosin-2
jgi|Nemve1|154826|e_gw.7815.2.1	Protein unc-93 homolog A
jgi|Nemve1|154831|e_gw.7820.11.1	Putative uncharacterized protein ART3
jgi|Nemve1|154845|e_gw.7826.2.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSPSIP00000000255}
jgi|Nemve1|154850|e_gw.7838.1.1	Uncharacterized protein {ECO:0000313|WBParaSite:maker-uti_cns_0003474-snap-gene-0.6-mRNA-1}
jgi|Nemve1|154857|e_gw.7856.3.1	DNA-directed RNA polymerase II subunit RPB1
jgi|Nemve1|154867|e_gw.7870.1.1	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3"
jgi|Nemve1|154871|e_gw.7879.2.1	Polypyrimidine tract-binding protein 2
jgi|Nemve1|154875|e_gw.7887.1.1	No_Description
jgi|Nemve1|154922|e_gw.7930.1.1	Probable RNA-directed DNA polymerase from transposon X-element
jgi|Nemve1|154925|e_gw.7931.2.1	Krueppel-like factor 2
jgi|Nemve1|154930|e_gw.7954.1.1	Uncharacterized protein {ECO:0000313|EMBL:KGL80585.1}
jgi|Nemve1|15493|gw.227.25.1	Alpha-1B adrenergic receptor
jgi|Nemve1|154974|e_gw.8000.5.1	Mitochondrial import inner membrane translocase subunit Tim8 A
jgi|Nemve1|154988|e_gw.8005.4.1	Uncharacterized protein {ECO:0000313|EMBL:BAT31212.1}
jgi|Nemve1|155007|e_gw.8010.6.1	DNA-directed RNA polymerase II subunit RPB1
jgi|Nemve1|155008|e_gw.8010.1.1	Basement membrane-specific heparan sulfate proteoglycan core protein
jgi|Nemve1|155017|e_gw.8012.1.1	Lipoma HMGIC fusion partner-like 2 protein
jgi|Nemve1|155018|e_gw.8019.1.1	Polyphosphoinositide phosphatase
jgi|Nemve1|155025|e_gw.8029.11.1	Histone H2B
jgi|Nemve1|155033|e_gw.8029.15.1	Late histone H2A.L3
jgi|Nemve1|155047|e_gw.8043.1.1	Nodal modulator 1 {ECO:0000312|EMBL:AAH72630.1}
jgi|Nemve1|155048|e_gw.8044.1.1	Mitochondrial import receptor subunit TOM20 homolog B
jgi|Nemve1|155052|e_gw.8056.2.1	"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"
jgi|Nemve1|155053|e_gw.8065.1.1	Zinc metalloproteinase nas-6
jgi|Nemve1|155055|e_gw.8086.1.1	Uncharacterized protein {ECO:0000313|EMBL:ESO98062.1}
jgi|Nemve1|155059|e_gw.8096.1.1	Uncharacterized protein {ECO:0000313|EMBL:ESO92718.1}
jgi|Nemve1|155067|e_gw.8112.1.1	"Twinkle protein, mitochondrial {ECO:0000305}"
jgi|Nemve1|155075|e_gw.8114.9.1	Uncharacterized protein {ECO:0000313|EMBL:KMQ78754.1}
jgi|Nemve1|155077|e_gw.8114.10.1	Putative uncharacterized protein ART3
jgi|Nemve1|155089|e_gw.8121.2.1	Collagen alpha-2(IV) chain
jgi|Nemve1|155108|e_gw.8140.3.1	Putative uncharacterized protein ART3
jgi|Nemve1|155118|e_gw.8149.3.1	Nuclear pore complex protein NUP98A {ECO:0000303|PubMed:21189294}
jgi|Nemve1|15511|gw.428.11.1	Fanconi anemia group I protein homolog
jgi|Nemve1|155125|e_gw.8154.1.1	Carbohydrate sulfotransferase 11
jgi|Nemve1|155145|e_gw.8170.2.1	Oxygen-regulated protein 1
jgi|Nemve1|155148|e_gw.8175.1.1	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase {ECO:0000305|PubMed:17897734}"
jgi|Nemve1|155159|e_gw.8183.5.1	Histone H4
jgi|Nemve1|155165|e_gw.8183.8.1	Histone H4
jgi|Nemve1|155178|e_gw.8208.1.1	Tripartite motif-containing protein 67
jgi|Nemve1|155184|e_gw.8226.5.1	Protein CapI
jgi|Nemve1|155187|e_gw.8226.1.1	UDP-glucose 6-dehydrogenase
jgi|Nemve1|1551|gw.2649.1.1	Bifunctional purine biosynthesis protein PURH
jgi|Nemve1|155207|e_gw.8241.4.1	Putative uncharacterized protein ART3
jgi|Nemve1|155234|e_gw.8253.1.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSORLP00000024767}
jgi|Nemve1|155235|e_gw.8253.2.1	No_Description
jgi|Nemve1|155247|e_gw.8276.1.1	NLR family CARD domain-containing protein 3
jgi|Nemve1|155251|e_gw.8288.1.1	Myelin regulatory factor
jgi|Nemve1|155259|e_gw.8326.3.1	E3 ubiquitin-protein ligase parkin {ECO:0000305}
jgi|Nemve1|155271|e_gw.8354.1.1	Zinc finger CCHC domain-containing protein 2
jgi|Nemve1|155282|e_gw.8362.2.1	26S proteasome non-ATPase regulatory subunit 12
jgi|Nemve1|155284|e_gw.8366.1.1	Diacylglycerol kinase eta {ECO:0000250|UniProtKB:Q86XP1}
jgi|Nemve1|155285|e_gw.8370.1.1	Probable E3 ubiquitin-protein ligase HERC1
jgi|Nemve1|155298|e_gw.8394.2.1	Uncharacterized protein {ECO:0000313|EMBL:ESO98663.1}
jgi|Nemve1|155317|e_gw.8416.12.1	"Histone H3, embryonic"
jgi|Nemve1|155328|e_gw.8438.2.1	Transmembrane protease serine 4
jgi|Nemve1|155329|e_gw.8440.1.1	Neurexin-4
jgi|Nemve1|155338|e_gw.8445.4.1	Sodium-coupled neutral amino acid transporter 9 {ECO:0000305}
jgi|Nemve1|155353|e_gw.8454.7.1	Protein TAR1
jgi|Nemve1|155362|e_gw.8481.2.1	Superkiller viralicidic activity 2-like 2
jgi|Nemve1|155444|e_gw.8572.2.1	Lipoprotein-releasing system ATP-binding protein LolD {ECO:0000255|HAMAP-Rule:MF_01708}
jgi|Nemve1|155447|e_gw.8592.1.1	Peptidase S8 and S53 subtilisin kexin sedolisin {ECO:0000313|EMBL:KGJ95230.1}
jgi|Nemve1|155448|e_gw.8594.3.1	3-oxoacyl-[acyl-carrier-protein] synthase 2
jgi|Nemve1|155456|e_gw.8617.6.1	Eppin
jgi|Nemve1|155465|e_gw.8623.2.1	Laminin subunit gamma-1
jgi|Nemve1|155473|e_gw.8665.2.1	Histone H2B
jgi|Nemve1|155502|e_gw.8686.7.1	Uncharacterized ABC transporter ATP-binding protein YdbJ
jgi|Nemve1|155575|e_gw.8733.2.1	BRCA2-interacting transcriptional repressor EMSY {ECO:0000250|UniProtKB:Q7Z589}
jgi|Nemve1|155616|e_gw.8824.2.1	30S ribosomal protein S9 {ECO:0000255|HAMAP-Rule:MF_00532}
jgi|Nemve1|155618|e_gw.8824.1.1	Glutamyl-tRNA(Gln) amidotransferase subunit A {ECO:0000255|HAMAP-Rule:MF_00120}
jgi|Nemve1|155648|e_gw.8865.3.1	Mucin-like protein {ECO:0000303|PubMed:23765379}
jgi|Nemve1|155664|e_gw.8884.1.1	52 kDa repressor of the inhibitor of the protein kinase
jgi|Nemve1|155668|e_gw.8895.1.1	Versican core protein
jgi|Nemve1|155676|e_gw.8954.1.1	TFIIH basal transcription factor complex helicase XPB subunit
jgi|Nemve1|155677|e_gw.8956.1.1	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15
jgi|Nemve1|155690|e_gw.8957.1.1	Circumsporozoite protein
jgi|Nemve1|155692|e_gw.8969.2.1	Putrescine transport ATP-binding protein PotG
jgi|Nemve1|155711|e_gw.8982.4.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026369}
jgi|Nemve1|155716|e_gw.8997.2.1	Splicing factor 3B subunit 5
jgi|Nemve1|155723|e_gw.9026.1.1	Sulfatase-modifying factor 1
jgi|Nemve1|155732|e_gw.9058.1.1	Kelch-like protein 20
jgi|Nemve1|155734|e_gw.9066.2.1	WD repeat and FYVE domain-containing protein 2
jgi|Nemve1|155750|e_gw.9097.2.1	No_Description
jgi|Nemve1|155753|e_gw.9107.1.1	Cilia- and flagella-associated protein 161 {ECO:0000250|UniProtKB:Q6P656}
jgi|Nemve1|155763|e_gw.9113.9.1	Uncharacterized protein {ECO:0000313|EMBL:JAN71250.1}
jgi|Nemve1|155782|e_gw.9149.3.1	Probable RNA-directed DNA polymerase from transposon X-element
jgi|Nemve1|155784|e_gw.9149.4.1	Uncharacterized protein {ECO:0000313|EMBL:JAI62631.1}
jgi|Nemve1|155792|e_gw.9156.2.1	Putative uncharacterized protein ART2
jgi|Nemve1|155794|e_gw.9161.2.1	RAC-gamma serine/threonine-protein kinase
jgi|Nemve1|155812|e_gw.9173.2.1	Putative 8-amino-7-oxononanoate synthase
jgi|Nemve1|155850|e_gw.9210.2.1	"Acetyl-CoA acetyltransferase, cytosolic"
jgi|Nemve1|155866|e_gw.9252.1.1	Liver carboxylesterase 2
jgi|Nemve1|155868|e_gw.9253.1.1	G-protein coupled receptor GRL101
jgi|Nemve1|155882|e_gw.9276.5.1	Elongation factor 2
jgi|Nemve1|155896|e_gw.9311.2.1	Fucolectin
jgi|Nemve1|155899|e_gw.9311.4.1	Retinoschisin
jgi|Nemve1|155900|e_gw.9323.2.1	Transcriptional regulatory protein QseB
jgi|Nemve1|155903|e_gw.9332.2.1	N-lysine methyltransferase KMT5A-A {ECO:0000305}
jgi|Nemve1|155915|e_gw.9368.1.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSDARP00000135484}
jgi|Nemve1|155941|e_gw.9414.2.1	Elongation factor 1-delta
jgi|Nemve1|155942|e_gw.9436.1.1	E3 ubiquitin-protein ligase KCMF1
jgi|Nemve1|155944|e_gw.9442.1.1	soluble scavenger receptor cysteine-rich domain-containing protein SSC5D {ECO:0000313|RefSeq:XP_012889980.1}
jgi|Nemve1|155958|e_gw.9490.1.1	2-dehydro-3-deoxyphosphooctonate aldolase {ECO:0000255|HAMAP-Rule:MF_00056}
jgi|Nemve1|155968|e_gw.9511.3.1	(S)-coclaurine N-methyltransferase
jgi|Nemve1|155977|e_gw.9524.1.1	Uncharacterized HTH-type transcriptional regulator YafC
jgi|Nemve1|155980|e_gw.9524.3.1	Extradiol ring-cleavage dioxygenase
jgi|Nemve1|155982|e_gw.9531.1.1	No_description
jgi|Nemve1|155983|e_gw.9532.3.1	Glyceraldehyde-3-phosphate dehydrogenase-like protein {ECO:0000255|RuleBase:RU361160}
jgi|Nemve1|155993|e_gw.9536.10.1	Putative senescence-associated protein {ECO:0000313|EMBL:BAB33421.1}
jgi|Nemve1|1559|gw.2328.1.1	Mucin-19
jgi|Nemve1|156023|e_gw.9580.6.1	Uncharacterized oxidoreductase YgfF
jgi|Nemve1|156025|e_gw.9580.4.1	16 kDa heat shock protein B
jgi|Nemve1|156049|e_gw.9633.1.1	Uncharacterized protein {ECO:0000313|EMBL:EJC97564.1}
jgi|Nemve1|156060|e_gw.9644.5.1	Cyclin-dependent kinase 20
jgi|Nemve1|156063|e_gw.9644.1.1	Uncharacterized protein {ECO:0000313|EMBL:AAU47062.1}
jgi|Nemve1|156067|e_gw.9656.1.1	Sister chromatid cohesion protein DCC1
jgi|Nemve1|156068|e_gw.9656.2.1	Sister chromatid cohesion protein DCC1
jgi|Nemve1|156081|e_gw.9679.3.1	Putative uncharacterized protein ART3
jgi|Nemve1|156083|e_gw.9679.1.1	Uncharacterized protein {ECO:0000313|EMBL:EJC97564.1}
jgi|Nemve1|156102|e_gw.9696.14.1	Uncharacterized protein {ECO:0000313|EnsemblPlants:TRIUR3_19084-P1}
jgi|Nemve1|156121|e_gw.9737.1.1	Octanoyltransferase {ECO:0000255|HAMAP-Rule:MF_00013}
jgi|Nemve1|15612|gw.64.8.1	Thyroxine 5-deiodinase
jgi|Nemve1|156145|e_gw.9769.1.1	Intraflagellar transport protein 57 homolog
jgi|Nemve1|156148|e_gw.9770.1.1	Nitrilase homolog 1
jgi|Nemve1|156177|e_gw.9811.5.1	Putative uncharacterized protein ART2
jgi|Nemve1|156191|e_gw.9825.3.1	Gamma-aminobutyric acid receptor subunit beta-3
jgi|Nemve1|156228|e_gw.9889.1.1	Sorbin and SH3 domain-containing protein 2
jgi|Nemve1|156233|e_gw.9901.1.1	Protein lifeguard 1
jgi|Nemve1|156236|e_gw.9907.1.1	Uncharacterized protein K02A2.6
jgi|Nemve1|156239|e_gw.9926.1.1	Enterin neuropeptides
jgi|Nemve1|156240|e_gw.9936.1.1	No_Description
jgi|Nemve1|156250|e_gw.9947.7.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSDARP00000132289}
jgi|Nemve1|156255|e_gw.9951.1.1	GTP cyclohydrolase 1
jgi|Nemve1|156268|e_gw.9963.1.1	Uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02
jgi|Nemve1|156273|e_gw.9964.1.1	Scavenger receptor class A member 5 {ECO:0000255|HAMAP-Rule:MF_03070}
jgi|Nemve1|156277|e_gw.9966.1.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSMODP00000038419}
jgi|Nemve1|156279|e_gw.9969.3.1	Probable bacterial non-heme ferritin
jgi|Nemve1|156287|e_gw.9982.1.1	Zinc finger protein 768
jgi|Nemve1|156290|e_gw.10003.2.1	Putative senescence-associated protein {ECO:0000313|EMBL:BAB33421.1}
jgi|Nemve1|156293|e_gw.10013.4.1	Putative UDP-glucose 4-epimerase
jgi|Nemve1|156301|e_gw.10031.3.1	TNF receptor-associated factor 4
jgi|Nemve1|156325|e_gw.10143.3.1	Zinc transporter ZIP10
jgi|Nemve1|156333|e_gw.10166.3.1	Methionyl-tRNA formyltransferase {ECO:0000255|HAMAP-Rule:MF_00182}
jgi|Nemve1|156336|e_gw.10166.4.1	"6,7-dimethyl-8-ribityllumazine synthase {ECO:0000255|HAMAP-Rule:MF_00178}"
jgi|Nemve1|156341|e_gw.10170.1.1	H/ACA ribonucleoprotein complex subunit 2-like protein
jgi|Nemve1|156347|e_gw.10268.2.1	RAC serine/threonine-protein kinase
jgi|Nemve1|156351|e_gw.10270.1.1	Phosphonates import ATP-binding protein PhnC 2 {ECO:0000255|HAMAP-Rule:MF_01713}
jgi|Nemve1|156356|e_gw.10293.1.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSOARP00000000151}
jgi|Nemve1|156377|e_gw.10424.1.1	Ectin {ECO:0000303|PubMed:23765379}
jgi|Nemve1|156386|e_gw.10470.6.1	Succinate--CoA ligase [ADP-forming] subunit alpha {ECO:0000255|HAMAP-Rule:MF_01988}
jgi|Nemve1|156395|e_gw.10523.6.1	No_Description
jgi|Nemve1|156397|e_gw.10523.4.1	No_Description
jgi|Nemve1|1563|gw.1549.2.1	von Willebrand factor A domain-containing protein 8
jgi|Nemve1|156425|e_gw.10586.5.1	Polyprenol monophosphomannose synthase
jgi|Nemve1|156430|e_gw.10605.2.1	Probable RNA-directed DNA polymerase from transposon BS
jgi|Nemve1|156436|e_gw.10623.2.1	Multiple epidermal growth factor-like domains protein 6
jgi|Nemve1|156444|e_gw.10655.4.1	Potassium voltage-gated channel protein Shaw
jgi|Nemve1|156445|e_gw.10659.1.1	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:SPU_013065-tr}
jgi|Nemve1|156446|e_gw.10659.2.1	No_Description
jgi|Nemve1|156447|e_gw.10694.1.1	Uncharacterized protein {ECO:0000313|EMBL:BAE34036.1}
jgi|Nemve1|156449|e_gw.10720.1.1	Dynein heavy chain
jgi|Nemve1|156451|e_gw.10720.3.1	DNA repair protein RAD51 homolog 2
jgi|Nemve1|156452|e_gw.10768.1.1	Zinc finger CCHC domain-containing protein 7
jgi|Nemve1|156455|e_gw.10819.2.1	"Transcription factor with AP2 domain(S),putative {ECO:0000313|EMBL:CAD49133.2}"
jgi|Nemve1|156458|e_gw.10827.1.1	Kelch repeat and BTB domain-containing protein 12
jgi|Nemve1|156476|e_gw.10902.1.1	Kelch-like protein 3
jgi|Nemve1|156477|e_gw.10903.1.1	Protein TAR1
jgi|Nemve1|156493|e_gw.10939.1.1	Uncharacterized protein {ECO:0000313|EMBL:OBZ09868.1}
jgi|Nemve1|156502|e_gw.11018.3.1	Testican-3
jgi|Nemve1|156507|e_gw.11039.1.1	Retrovirus-related Pol polyprotein from transposon 17.6
jgi|Nemve1|156510|e_gw.11087.2.1	Uncharacterized protein {ECO:0000313|VectorBase:BGLB007776-PA}
jgi|Nemve1|156512|e_gw.11104.1.1	26S proteasome non-ATPase regulatory subunit 2
jgi|Nemve1|156516|e_gw.11172.2.1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] {ECO:0000255|HAMAP-Rule:MF_00164}
jgi|Nemve1|156526|e_gw.11219.2.1	Protein LIAT1 {ECO:0000305}
jgi|Nemve1|156534|e_gw.11285.3.1	Protein canopy homolog 2
jgi|Nemve1|156539|e_gw.11356.3.1	Uncharacterized protein {ECO:0000313|WBParaSite:SMTD_0002202301-mRNA-1}
jgi|Nemve1|156545|e_gw.11375.1.1	Snake venom metalloprotease inhibitor 02A10
jgi|Nemve1|156558|e_gw.11411.2.1	Uncharacterized protein {ECO:0000313|EMBL:EFX73172.1}
jgi|Nemve1|156562|e_gw.11432.2.1	Monocarboxylate transporter 10
jgi|Nemve1|156565|e_gw.11453.1.1	Sucrose transport protein SUC2
jgi|Nemve1|156573|e_gw.11573.1.1	Probable serine/threonine-protein kinase Sps1
jgi|Nemve1|156582|e_gw.11610.5.1	Dual specificity protein phosphatase 8
jgi|Nemve1|156598|e_gw.11672.3.1	Uncharacterized protein {ECO:0000313|EMBL:OCA18518.1}
jgi|Nemve1|156619|e_gw.11753.3.1	Versican core protein
jgi|Nemve1|156628|e_gw.11793.2.1	ATP-dependent RNA helicase RhlE {ECO:0000255|HAMAP-Rule:MF_00968}
jgi|Nemve1|156629|e_gw.11796.1.1	Reverse transcriptase {ECO:0000313|EMBL:ADZ95806.1}
jgi|Nemve1|156645|e_gw.11910.2.1	Putative uncharacterized protein ART3
jgi|Nemve1|156659|e_gw.11984.2.1	1-deoxy-D-xylulose-5-phosphate synthase {ECO:0000255|HAMAP-Rule:MF_00315}
jgi|Nemve1|15665|gw.240.17.1	Mucin-22
jgi|Nemve1|156663|e_gw.11994.5.1	50S ribosomal protein L4 {ECO:0000255|HAMAP-Rule:MF_01328}
jgi|Nemve1|156669|e_gw.12003.1.1	Methionine synthase
jgi|Nemve1|156676|e_gw.12038.5.1	Transmembrane channel-like protein 5
jgi|Nemve1|156687|e_gw.12156.2.1	Protocadherin Fat 3
jgi|Nemve1|156694|e_gw.12187.1.1	Green-sensitive opsin
jgi|Nemve1|156698|e_gw.12227.1.1	Proprotein convertase subtilisin/kexin type 4
jgi|Nemve1|156722|e_gw.12335.1.1	Nitric oxide synthase
jgi|Nemve1|156733|e_gw.12355.1.1	Methionine--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_00098}
jgi|Nemve1|156736|e_gw.12367.1.1	Polyamine aminopropyltransferase 1 {ECO:0000255|HAMAP-Rule:MF_00198}
jgi|Nemve1|156739|e_gw.12373.3.1	Zinc finger protein 433
jgi|Nemve1|156744|e_gw.12434.1.1	BUD13 homolog
jgi|Nemve1|156752|e_gw.12480.1.1	Lysostaphin
jgi|Nemve1|156758|e_gw.12491.3.1	NADH-quinone oxidoreductase subunit N 1 {ECO:0000255|HAMAP-Rule:MF_00445}
jgi|Nemve1|156762|e_gw.12498.3.1	Probable uroporphyrinogen-III C-methyltransferase
